time,value
 15:30:43.685560,1489
 15:30:44.685000,1488
 15:30:45.693470,1487
 15:30:46.651650,1487
 15:30:47.688610,1487
 15:30:48.669920,1488
 15:30:49.660190,1489
 15:30:50.659310,1490
 15:30:51.702680,1490
 15:30:52.683980,1489
 15:30:53.657190,1487
 15:30:54.658200,1489
 15:30:55.654570,1490
 15:30:56.678980,1490
 15:30:57.689600,1490
 15:30:58.700570,1488
 15:30:59.668440,1488
 15:31:00.662150,1490
 15:31:01.647270,1489
 15:31:02.694600,1489
 15:31:03.666980,1489
 15:31:04.663580,1488
 15:31:05.687690,1488
 15:31:06.662350,1488
 15:31:07.659780,1488
 15:31:08.648890,1489
 15:31:09.623800,1490
 15:31:10.630630,1490
 15:31:11.609960,1489
 15:31:12.616090,1489
 15:31:13.651540,1489
 15:31:14.666100,1488
 15:31:15.665260,1489
 15:31:16.652350,1489
 15:31:17.665310,1488
 15:31:18.648130,1488
 15:31:19.637030,1487
 15:31:20.649810,1489
 15:31:21.648560,1490
 15:31:22.655120,1490
 15:31:23.677780,1490
 15:31:24.651780,1490
 15:31:25.653910,1490
 15:31:26.639780,1489
 15:31:27.682630,1489
 15:31:28.672820,1489
 15:31:29.660560,1490
 15:31:30.647860,1489
 15:31:31.648430,1489
 15:31:32.671810,1490
 15:31:33.656700,1489
 15:31:34.690570,1489
 15:31:35.701680,1489
 15:31:36.683600,1487
 15:31:37.693110,1487
 15:31:38.689350,1487
 15:31:39.694220,1488
 15:31:40.649130,1488
 15:31:41.674140,1489
 15:31:42.660910,1489
 15:31:43.673130,1489
 15:31:44.671940,1490
 15:31:45.659460,1490
 15:31:46.669850,1490
 15:31:47.699960,1490
 15:31:48.710920,1489
 15:31:49.638650,1489
 15:31:50.630650,1489
 15:31:51.645560,1489
 15:31:52.636710,1490
 15:31:53.680340,1490
 15:31:54.642760,1490
 15:31:55.647620,1489
 15:31:56.684550,1489
 15:31:57.704670,1489
 15:31:58.686090,1489
 15:31:59.652600,1489
 15:32:00.657730,1490
 15:32:01.679900,1489
 15:32:02.666320,1489
 15:32:03.652850,1489
 15:32:04.679200,1488
 15:32:05.685190,1489
 15:32:06.678830,1489
 15:32:07.686110,1489
 15:32:08.611030,1488
 15:32:09.623050,1488
 15:32:10.630970,1488
 15:32:11.665990,1488
 15:32:12.652780,1490
 15:32:13.668650,1489
 15:32:14.671530,1489
 15:32:15.679320,1490
 15:32:16.670620,1488
 15:32:17.683540,1488
 15:32:18.666760,1488
 15:32:19.611410,1488
 15:32:20.626160,1488
 15:32:21.646380,1488
 15:32:22.635620,1488
 15:32:23.624530,1488
 15:32:24.614780,1488
 15:32:25.640280,1487
 15:32:26.612180,1488
 15:32:27.616130,1487
 15:32:28.668110,1487
 15:32:29.648630,1488
 15:32:30.678390,1486
 15:32:31.662060,1487
 15:32:32.641090,1487
 15:32:33.637840,1488
 15:32:34.653410,1487
 15:32:35.661230,1488
 15:32:36.650940,1488
 15:32:37.678890,1488
 15:32:38.687810,1487
 15:32:39.670650,1488
 15:32:40.650390,1488
 15:32:41.659910,1487
 15:32:42.677470,1488
 15:32:43.664520,1488
 15:32:44.659720,1488
 15:32:45.666260,1488
 15:32:46.611700,1487
 15:32:47.613280,1488
 15:32:48.597570,1488
 15:32:49.647690,1488
 15:32:50.588280,1488
 15:32:51.602120,1488
 15:32:52.631120,1488
 15:32:53.635420,1489
 15:32:54.642540,1488
 15:32:55.637480,1487
 15:32:56.647580,1488
 15:32:57.650410,1488
 15:32:58.645210,1487
 15:32:59.649560,1488
 15:33:00.638820,1488
 15:33:01.629840,1487
 15:33:02.630850,1488
 15:33:03.680530,1488
 15:33:04.620610,1489
 15:33:05.633460,1489
 15:33:06.650310,1489
 15:33:07.630280,1490
 15:33:08.628900,1488
 15:33:09.646360,1487
 15:33:10.633850,1487
 15:33:11.629270,1487
 15:33:12.665260,1489
 15:33:13.595100,1489
 15:33:14.646820,1487
 15:33:15.585130,1488
