value,timestamp
1536,2022-03-03 21:22:20.938550
1534,2022-03-03 21:22:21.986460
1536,2022-03-03 21:22:22.935420
1537,2022-03-03 21:22:23.949890
1537,2022-03-03 21:22:24.954550
1536,2022-03-03 21:22:25.956290
1535,2022-03-03 21:22:26.942300
1536,2022-03-03 21:22:27.970960
1536,2022-03-03 21:22:28.957230
1535,2022-03-03 21:22:29.937050
1534,2022-03-03 21:22:30.942230
1535,2022-03-03 21:22:31.944400
1535,2022-03-03 21:22:32.936070
1534,2022-03-03 21:22:33.993130
1534,2022-03-03 21:22:34.988120
1534,2022-03-03 21:22:35.948350
1535,2022-03-03 21:22:36.944850
1534,2022-03-03 21:22:38.005360
1535,2022-03-03 21:22:38.972360
1536,2022-03-03 21:22:39.983800
1536,2022-03-03 21:22:40.969890
1536,2022-03-03 21:22:41.962990
1537,2022-03-03 21:22:42.988890
1538,2022-03-03 21:22:43.975550
1537,2022-03-03 21:22:44.983320
1536,2022-03-03 21:22:45.957920
1537,2022-03-03 21:22:46.966400
1536,2022-03-03 21:22:47.995170
1536,2022-03-03 21:22:48.943080
1537,2022-03-03 21:22:49.964910
1536,2022-03-03 21:22:50.974780
1537,2022-03-03 21:22:51.951500
1538,2022-03-03 21:22:52.944770
1537,2022-03-03 21:22:53.972490
1536,2022-03-03 21:22:54.979310
1536,2022-03-03 21:22:55.967350
1537,2022-03-03 21:22:56.969480
1538,2022-03-03 21:22:57.968610
1536,2022-03-03 21:22:58.974570
1535,2022-03-03 21:22:59.981500
1537,2022-03-03 21:23:00.926530
1536,2022-03-03 21:23:01.927220
1535,2022-03-03 21:23:02.995290
1536,2022-03-03 21:23:03.920010
1535,2022-03-03 21:23:04.920650
1535,2022-03-03 21:23:05.945170
1534,2022-03-03 21:23:06.946780
1535,2022-03-03 21:23:07.945550
1536,2022-03-03 21:23:08.951520
1536,2022-03-03 21:23:09.955600
1534,2022-03-03 21:23:10.925720
1535,2022-03-03 21:23:11.921090
1536,2022-03-03 21:23:12.933100
1535,2022-03-03 21:23:13.904720
1536,2022-03-03 21:23:14.892580
1536,2022-03-03 21:23:15.954410
1535,2022-03-03 21:23:16.874890
1537,2022-03-03 21:23:17.905570
1537,2022-03-03 21:23:18.895200
1535,2022-03-03 21:23:19.869580
1538,2022-03-03 21:23:20.871890
1538,2022-03-03 21:23:21.901140
1536,2022-03-03 21:23:22.908720
1536,2022-03-03 21:23:23.870590
1536,2022-03-03 21:23:24.853080
1536,2022-03-03 21:23:25.857160
1537,2022-03-03 21:23:26.871140
1536,2022-03-03 21:23:27.868410
1536,2022-03-03 21:23:28.880110
1534,2022-03-03 21:23:29.903100
1535,2022-03-03 21:23:30.848210
1537,2022-03-03 21:23:31.837950
1534,2022-03-03 21:23:32.899980
1534,2022-03-03 21:23:33.864200
1534,2022-03-03 21:23:34.850040
1534,2022-03-03 21:23:35.845930
1534,2022-03-03 21:23:36.888700
1533,2022-03-03 21:23:37.892500
1534,2022-03-03 21:23:38.855570
1533,2022-03-03 21:23:39.887710
1533,2022-03-03 21:23:40.890840
1533,2022-03-03 21:23:41.884900
1533,2022-03-03 21:23:42.940960
1535,2022-03-03 21:23:43.927300
1534,2022-03-03 21:23:44.867110
1535,2022-03-03 21:23:45.876970
1536,2022-03-03 21:23:46.872540
1537,2022-03-03 21:23:47.856680
1537,2022-03-03 21:23:48.898760
1537,2022-03-03 21:23:49.906780
1536,2022-03-03 21:23:50.889620
1536,2022-03-03 21:23:51.909440
1535,2022-03-03 21:23:52.916460
1536,2022-03-03 21:23:53.856520
1536,2022-03-03 21:23:54.873400
1535,2022-03-03 21:23:55.864490
1536,2022-03-03 21:23:56.857570
1535,2022-03-03 21:23:57.847130
1535,2022-03-03 21:23:58.854390
1536,2022-03-03 21:23:59.852070
1536,2022-03-03 21:24:00.897160
1534,2022-03-03 21:24:01.916270
1535,2022-03-03 21:24:02.888200
1535,2022-03-03 21:24:03.880330
1533,2022-03-03 21:24:04.920240
1534,2022-03-03 21:24:05.870790
1534,2022-03-03 21:24:06.923160
1533,2022-03-03 21:24:07.921470
1533,2022-03-03 21:24:08.856130
1533,2022-03-03 21:24:09.921090
1535,2022-03-03 21:24:10.873180
1535,2022-03-03 21:24:11.895350
1533,2022-03-03 21:24:12.901210
1533,2022-03-03 21:24:13.884550
1534,2022-03-03 21:24:14.876450
1535,2022-03-03 21:24:15.890330
1533,2022-03-03 21:24:16.892810
1534,2022-03-03 21:24:17.904250
1535,2022-03-03 21:24:18.905450
1534,2022-03-03 21:24:19.919330
1532,2022-03-03 21:24:20.918940
1534,2022-03-03 21:24:21.893750
1534,2022-03-03 21:24:22.871010
1533,2022-03-03 21:24:23.882840
1533,2022-03-03 21:24:24.893910
1533,2022-03-03 21:24:25.905320
1535,2022-03-03 21:24:26.852780
1534,2022-03-03 21:24:27.906890
1535,2022-03-03 21:24:28.909500
1538,2022-03-03 21:24:29.914700
1536,2022-03-03 21:24:30.893740
1535,2022-03-03 21:24:31.903950
1536,2022-03-03 21:24:32.906470
1534,2022-03-03 21:24:33.918730
1533,2022-03-03 21:24:34.863930
1536,2022-03-03 21:24:35.859650
1536,2022-03-03 21:24:36.884780
1534,2022-03-03 21:24:37.908510
1533,2022-03-03 21:24:38.915290
1534,2022-03-03 21:24:39.904510
1536,2022-03-03 21:24:40.905480
1536,2022-03-03 21:24:41.907200
1536,2022-03-03 21:24:42.837880
1535,2022-03-03 21:24:43.891430
1536,2022-03-03 21:24:44.870610
1536,2022-03-03 21:24:45.881570
1534,2022-03-03 21:24:46.880800
1536,2022-03-03 21:24:47.890630
1536,2022-03-03 21:24:48.840680
1535,2022-03-03 21:24:49.845630
1533,2022-03-03 21:24:50.841600
1533,2022-03-03 21:24:51.874580
1534,2022-03-03 21:24:52.853260
1532,2022-03-03 21:24:53.857240
1532,2022-03-03 21:24:54.843280
1533,2022-03-03 21:24:55.848630
1534,2022-03-03 21:24:56.857800
1533,2022-03-03 21:24:57.872100
1535,2022-03-03 21:24:58.857880
1536,2022-03-03 21:24:59.886040
1534,2022-03-03 21:25:00.863860
1534,2022-03-03 21:25:01.839150
1536,2022-03-03 21:25:02.849520
1535,2022-03-03 21:25:03.837940
1535,2022-03-03 21:25:04.841010
1536,2022-03-03 21:25:05.833320
1535,2022-03-03 21:25:06.824200
1533,2022-03-03 21:25:07.817820
1536,2022-03-03 21:25:08.810700
1536,2022-03-03 21:25:09.813890
1534,2022-03-03 21:25:10.832870
1537,2022-03-03 21:25:11.821420
1536,2022-03-03 21:25:12.834990
1537,2022-03-03 21:25:13.849760
1537,2022-03-03 21:25:14.860790
1537,2022-03-03 21:25:15.852860
1536,2022-03-03 21:25:16.869730
1535,2022-03-03 21:25:17.845070
1537,2022-03-03 21:25:18.870860
1536,2022-03-03 21:25:19.875320
1534,2022-03-03 21:25:20.893640
1537,2022-03-03 21:25:21.841980
1537,2022-03-03 21:25:22.887980
1537,2022-03-03 21:25:23.883990
1538,2022-03-03 21:25:24.880940
1538,2022-03-03 21:25:25.877150
1537,2022-03-03 21:25:26.823500
1537,2022-03-03 21:25:27.827560
1538,2022-03-03 21:25:28.879520
1537,2022-03-03 21:25:29.818670
1535,2022-03-03 21:25:30.824610
1537,2022-03-03 21:25:31.834620
1539,2022-03-03 21:25:32.839640
1534,2022-03-03 21:25:33.837690
1538,2022-03-03 21:25:34.810800
1538,2022-03-03 21:25:35.846830
1535,2022-03-03 21:25:36.873550
1536,2022-03-03 21:25:37.809610
1536,2022-03-03 21:25:38.871610
1537,2022-03-03 21:25:39.840290
1537,2022-03-03 21:25:40.805370
1537,2022-03-03 21:25:41.835930
1536,2022-03-03 21:25:42.841630
1535,2022-03-03 21:25:43.832210
1536,2022-03-03 21:25:44.851910
1537,2022-03-03 21:25:45.854070
1536,2022-03-03 21:25:46.800100
1536,2022-03-03 21:25:47.818390
1536,2022-03-03 21:25:48.826850
1536,2022-03-03 21:25:49.821750
1535,2022-03-03 21:25:50.823730
1535,2022-03-03 21:25:51.808420
1535,2022-03-03 21:25:52.796380
1534,2022-03-03 21:25:53.852970
1534,2022-03-03 21:25:54.839050
1535,2022-03-03 21:25:55.815790
1534,2022-03-03 21:25:56.819490
1535,2022-03-03 21:25:57.813710
1536,2022-03-03 21:25:58.824660
1533,2022-03-03 21:25:59.826360
1533,2022-03-03 21:26:00.832750
1536,2022-03-03 21:26:01.834830
1535,2022-03-03 21:26:02.831790
1535,2022-03-03 21:26:03.837430
1535,2022-03-03 21:26:04.810130
1536,2022-03-03 21:26:05.822340
1537,2022-03-03 21:26:06.798110
1536,2022-03-03 21:26:07.786900
1537,2022-03-03 21:26:08.779160
1537,2022-03-03 21:26:09.827990
1536,2022-03-03 21:26:10.782970
1538,2022-03-03 21:26:11.776380
1537,2022-03-03 21:26:12.764350
1536,2022-03-03 21:26:13.763790
1537,2022-03-03 21:26:14.751260
1537,2022-03-03 21:26:15.756330
1537,2022-03-03 21:26:16.755770
1536,2022-03-03 21:26:17.762000
1536,2022-03-03 21:26:18.797350
1537,2022-03-03 21:26:19.809820
1537,2022-03-03 21:26:20.799900
1536,2022-03-03 21:26:21.783580
1538,2022-03-03 21:26:22.805530
1536,2022-03-03 21:26:23.803360
1535,2022-03-03 21:26:24.801170
1536,2022-03-03 21:26:25.820970
1537,2022-03-03 21:26:26.803570
1535,2022-03-03 21:26:27.833890
1534,2022-03-03 21:26:28.765550
1537,2022-03-03 21:26:29.771320
1536,2022-03-03 21:26:30.779420
1536,2022-03-03 21:26:31.773190
1536,2022-03-03 21:26:32.771500
1537,2022-03-03 21:26:33.786770
1536,2022-03-03 21:26:34.801940
1536,2022-03-03 21:26:35.789760
1536,2022-03-03 21:26:36.740460
1536,2022-03-03 21:26:37.732370
1536,2022-03-03 21:26:38.731880
1536,2022-03-03 21:26:39.741970
1535,2022-03-03 21:26:40.743770
1536,2022-03-03 21:26:41.742630
1536,2022-03-03 21:26:42.754550
1534,2022-03-03 21:26:43.743330
1534,2022-03-03 21:26:44.744180
1537,2022-03-03 21:26:45.752060
1535,2022-03-03 21:26:46.745530
1534,2022-03-03 21:26:47.765410
1535,2022-03-03 21:26:48.779580
1535,2022-03-03 21:26:49.724450
1536,2022-03-03 21:26:50.737320
1535,2022-03-03 21:26:51.730950
1536,2022-03-03 21:26:52.737870
1536,2022-03-03 21:26:53.739040
1536,2022-03-03 21:26:54.742650
1535,2022-03-03 21:26:55.743760
1535,2022-03-03 21:26:56.746600
1536,2022-03-03 21:26:57.743750
1536,2022-03-03 21:26:58.739200
1535,2022-03-03 21:26:59.745880
1535,2022-03-03 21:27:00.744860
1535,2022-03-03 21:27:01.714780
1535,2022-03-03 21:27:02.762750
1536,2022-03-03 21:27:03.760570
1535,2022-03-03 21:27:04.687750
1533,2022-03-03 21:27:05.704530
1534,2022-03-03 21:27:06.740950
1534,2022-03-03 21:27:07.694980
1533,2022-03-03 21:27:08.717780
1534,2022-03-03 21:27:09.694620
1535,2022-03-03 21:27:10.695810
1535,2022-03-03 21:27:11.699320
1536,2022-03-03 21:27:12.745120
1535,2022-03-03 21:27:13.709480
1538,2022-03-03 21:27:14.732720
1538,2022-03-03 21:27:15.742950
1537,2022-03-03 21:27:16.742850
1537,2022-03-03 21:27:17.671810
1538,2022-03-03 21:27:18.686500
1537,2022-03-03 21:27:19.697350
1537,2022-03-03 21:27:20.711200
1536,2022-03-03 21:27:21.699740
1537,2022-03-03 21:27:22.680180
1537,2022-03-03 21:27:23.674490
1537,2022-03-03 21:27:24.727670
1537,2022-03-03 21:27:25.711110
1537,2022-03-03 21:27:26.659070
1536,2022-03-03 21:27:27.657240
1535,2022-03-03 21:27:28.657470
1536,2022-03-03 21:27:29.650280
1535,2022-03-03 21:27:30.668710
1537,2022-03-03 21:27:31.650580
1536,2022-03-03 21:27:32.664910
1536,2022-03-03 21:27:33.671370
1537,2022-03-03 21:27:34.679240
1537,2022-03-03 21:27:35.668080
1537,2022-03-03 21:27:36.667570
1536,2022-03-03 21:27:37.651460
1537,2022-03-03 21:27:38.615690
1538,2022-03-03 21:27:39.645440
1537,2022-03-03 21:27:40.644500
1537,2022-03-03 21:27:41.626710
1537,2022-03-03 21:27:42.639070
1537,2022-03-03 21:27:43.651830
1536,2022-03-03 21:27:44.635640
1536,2022-03-03 21:27:45.654670
1536,2022-03-03 21:27:46.629850
1537,2022-03-03 21:27:47.599030
1537,2022-03-03 21:27:48.651190
1537,2022-03-03 21:27:49.630350
1536,2022-03-03 21:27:50.614060
1537,2022-03-03 21:27:51.601860
1537,2022-03-03 21:27:52.600840
1535,2022-03-03 21:27:53.614570
1537,2022-03-03 21:27:54.654440
1537,2022-03-03 21:27:55.640160
1536,2022-03-03 21:27:56.597810
1537,2022-03-03 21:27:57.593090
1537,2022-03-03 21:27:58.594370
1537,2022-03-03 21:27:59.603720
1539,2022-03-03 21:28:00.590710
1537,2022-03-03 21:28:01.640440
1538,2022-03-03 21:28:02.625620
1537,2022-03-03 21:28:03.636240
1537,2022-03-03 21:28:04.625400
1537,2022-03-03 21:28:05.624200
1536,2022-03-03 21:28:06.617660
1537,2022-03-03 21:28:07.642900
1537,2022-03-03 21:28:08.635780
1536,2022-03-03 21:28:09.627470
1537,2022-03-03 21:28:10.625420
1537,2022-03-03 21:28:11.615660
1536,2022-03-03 21:28:12.614590
1537,2022-03-03 21:28:13.629210
1537,2022-03-03 21:28:14.628210
1537,2022-03-03 21:28:15.606780
1537,2022-03-03 21:28:16.621640
1536,2022-03-03 21:28:17.630570
1536,2022-03-03 21:28:18.639000
1535,2022-03-03 21:28:19.639500
1535,2022-03-03 21:28:20.640100
1536,2022-03-03 21:28:21.636670
1535,2022-03-03 21:28:22.626870
1535,2022-03-03 21:28:23.645640
1536,2022-03-03 21:28:24.680830
1537,2022-03-03 21:28:25.631610
1536,2022-03-03 21:28:26.618990
1536,2022-03-03 21:28:27.632230
1537,2022-03-03 21:28:28.598180
1536,2022-03-03 21:28:29.609950
1538,2022-03-03 21:28:30.617810
1537,2022-03-03 21:28:31.615180
1537,2022-03-03 21:28:32.611550
1536,2022-03-03 21:28:33.599850
1536,2022-03-03 21:28:34.670260
1537,2022-03-03 21:28:35.608470
1537,2022-03-03 21:28:36.622680
1536,2022-03-03 21:28:37.635440
1537,2022-03-03 21:28:38.666960
1535,2022-03-03 21:28:39.650460
1536,2022-03-03 21:28:40.661590
1536,2022-03-03 21:28:41.659460
1535,2022-03-03 21:28:42.584150
1536,2022-03-03 21:28:43.579480
1536,2022-03-03 21:28:44.597350
1535,2022-03-03 21:28:45.615570
1535,2022-03-03 21:28:46.609910
1536,2022-03-03 21:28:47.592760
1536,2022-03-03 21:28:48.625570
1536,2022-03-03 21:28:49.600630
1536,2022-03-03 21:28:50.591660
1537,2022-03-03 21:28:51.601440
1537,2022-03-03 21:28:52.619400
1536,2022-03-03 21:28:53.604290
1536,2022-03-03 21:28:54.600680
1537,2022-03-03 21:28:55.618610
1536,2022-03-03 21:28:56.628750
1535,2022-03-03 21:28:57.622730
1535,2022-03-03 21:28:58.568500
1535,2022-03-03 21:28:59.620160
1535,2022-03-03 21:29:00.561180
1534,2022-03-03 21:29:01.555050
1534,2022-03-03 21:29:02.554720
1537,2022-03-03 21:29:03.547200
1536,2022-03-03 21:29:04.594610
1534,2022-03-03 21:29:05.604520
1535,2022-03-03 21:29:06.545710
1537,2022-03-03 21:29:07.557920
1536,2022-03-03 21:29:08.565370
1536,2022-03-03 21:29:09.577140
1537,2022-03-03 21:29:10.575230
1537,2022-03-03 21:29:11.585170
1536,2022-03-03 21:29:12.589970
1536,2022-03-03 21:29:13.579390
1537,2022-03-03 21:29:14.533750
1536,2022-03-03 21:29:15.536540
1537,2022-03-03 21:29:16.530220
1537,2022-03-03 21:29:17.547030
1538,2022-03-03 21:29:18.536370
1537,2022-03-03 21:29:19.499300
1537,2022-03-03 21:29:20.549690
1537,2022-03-03 21:29:21.558580
1537,2022-03-03 21:29:22.501790
1538,2022-03-03 21:29:23.514220
1537,2022-03-03 21:29:24.550570
1537,2022-03-03 21:29:25.495190
1537,2022-03-03 21:29:26.495150
1538,2022-03-03 21:29:27.492720
1536,2022-03-03 21:29:28.543020
1536,2022-03-03 21:29:29.472400
1536,2022-03-03 21:29:30.532940
1536,2022-03-03 21:29:31.489750
1535,2022-03-03 21:29:32.502400
1534,2022-03-03 21:29:33.520340
